POC   62 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23344 bits [Y 36.0118 dB    U 40.3201 dB    V 40.1101 dB] [ET    16 ] [L0] [L1]
POC   63 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23208 bits [Y 36.1288 dB    U 40.3635 dB    V 39.7587 dB] [ET    16 ] [L0] [L1]
POC   64 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23056 bits [Y 36.0460 dB    U 40.2591 dB    V 39.9573 dB] [ET    17 ] [L0] [L1]
POC   65 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23448 bits [Y 36.1570 dB    U 40.3388 dB    V 39.9175 dB] [ET    16 ] [L0] [L1]
POC   66 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      22896 bits [Y 36.0109 dB    U 40.2392 dB    V 40.0482 dB] [ET    17 ] [L0] [L1]
POC   67 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23528 bits [Y 36.0976 dB    U 40.2611 dB    V 39.7878 dB] [ET    16 ] [L0] [L1]
POC   68 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23176 bits [Y 36.0362 dB    U 40.1848 dB    V 40.1804 dB] [ET    16 ] [L0] [L1]
POC   69 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23416 bits [Y 36.0323 dB    U 40.2422 dB    V 39.9909 dB] [ET    16 ] [L0] [L1]
POC   70 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      22904 bits [Y 35.9785 dB    U 40.2316 dB    V 40.0996 dB] [ET    17 ] [L0] [L1]
POC   71 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23848 bits [Y 36.1311 dB    U 40.3151 dB    V 40.0395 dB] [ET    18 ] [L0] [L1]
POC   72 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23528 bits [Y 36.1259 dB    U 40.2946 dB    V 39.8963 dB] [ET    16 ] [L0] [L1]
POC   73 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23072 bits [Y 36.1450 dB    U 40.3319 dB    V 40.0318 dB] [ET    16 ] [L0] [L1]
POC   74 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      22992 bits [Y 36.1033 dB    U 40.3061 dB    V 39.9639 dB] [ET    16 ] [L0] [L1]
POC   75 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23360 bits [Y 36.1211 dB    U 40.2926 dB    V 39.9541 dB] [ET    16 ] [L0] [L1]
POC   76 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23192 bits [Y 36.0859 dB    U 40.1459 dB    V 40.1974 dB] [ET    16 ] [L0] [L1]
POC   77 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23200 bits [Y 36.0678 dB    U 40.2777 dB    V 40.1161 dB] [ET    17 ] [L0] [L1]
POC   78 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23184 bits [Y 36.0039 dB    U 40.1943 dB    V 40.0226 dB] [ET    17 ] [L0] [L1]
POC   79 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23424 bits [Y 36.1040 dB    U 40.3173 dB    V 39.9590 dB] [ET    17 ] [L0] [L1]
POC   80 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      23024 bits [Y 35.9969 dB    U 40.3359 dB    V 40.1248 dB] [ET    16 ] [L0] [L1]

LayerId  0
	Total Frames |  Bitrate      Y-PSNR   U-PSNR   V-PSNR   YUV-PSNR 
	81           a  1397.3333    36.0549  40.2683  40.0204  37.0415  

 finished @ Mon Sep 11 10:36:18 2023
 Total Time:     1385.574 sec. [user]     1385.575 sec. [elapsed]
