POC   73 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     139952 bits [Y 40.6094 dB    U 46.7246 dB    V 47.9914 dB] [ET    45 ] [L0] [L1]
POC   74 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     140168 bits [Y 40.5908 dB    U 46.6683 dB    V 48.0777 dB] [ET    45 ] [L0] [L1]
POC   75 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     140248 bits [Y 40.6213 dB    U 46.7485 dB    V 48.0180 dB] [ET    43 ] [L0] [L1]
POC   76 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     139960 bits [Y 40.5676 dB    U 46.6546 dB    V 47.9458 dB] [ET    44 ] [L0] [L1]
POC   77 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     140576 bits [Y 40.5712 dB    U 46.6996 dB    V 48.0953 dB] [ET    47 ] [L0] [L1]
POC   78 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     141504 bits [Y 40.5973 dB    U 46.5582 dB    V 47.8733 dB] [ET    45 ] [L0] [L1]
POC   79 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     141864 bits [Y 40.6029 dB    U 46.8087 dB    V 48.0207 dB] [ET    46 ] [L0] [L1]
POC   80 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     141536 bits [Y 40.6156 dB    U 46.8156 dB    V 48.2136 dB] [ET    46 ] [L0] [L1]

LayerId  0
	Total Frames |  Bitrate      Y-PSNR   U-PSNR   V-PSNR   YUV-PSNR 
	81           a  8595.9526    40.5478  46.5616  47.8978  41.8606  

 finished @ Mon Sep 11 11:30:37 2023
 Total Time:     3749.156 sec. [user]     3749.157 sec. [elapsed]
