POC   34 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      63240 bits [Y 31.4207 dB    U 38.1513 dB    V 38.5513 dB] [ET    41 ] [L0] [L1]
POC   35 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      62048 bits [Y 31.3628 dB    U 38.0544 dB    V 38.4486 dB] [ET    41 ] [L0] [L1]
POC   36 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      62792 bits [Y 31.4231 dB    U 38.2106 dB    V 38.7886 dB] [ET    41 ] [L0] [L1]
POC   37 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      62608 bits [Y 31.4019 dB    U 38.2804 dB    V 38.6296 dB] [ET    40 ] [L0] [L1]
POC   38 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      62568 bits [Y 31.3948 dB    U 38.2421 dB    V 38.5007 dB] [ET    40 ] [L0] [L1]
POC   39 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      62712 bits [Y 31.3913 dB    U 38.1162 dB    V 38.5990 dB] [ET    42 ] [L0] [L1]
POC   40 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      62376 bits [Y 31.3882 dB    U 38.1339 dB    V 38.5776 dB] [ET    41 ] [L0] [L1]
POC   41 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      62880 bits [Y 31.4232 dB    U 38.1815 dB    V 38.3220 dB] [ET    42 ] [L0] [L1]
POC   42 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      63568 bits [Y 31.4559 dB    U 38.0907 dB    V 38.5098 dB] [ET    42 ] [L0] [L1]
POC   43 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      62872 bits [Y 31.3873 dB    U 38.3094 dB    V 38.6060 dB] [ET    41 ] [L0] [L1]
POC   44 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      62456 bits [Y 31.3897 dB    U 38.1067 dB    V 38.3618 dB] [ET    41 ] [L0] [L1]
POC   45 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      62080 bits [Y 31.3867 dB    U 38.1506 dB    V 38.5819 dB] [ET    41 ] [L0] [L1]
POC   46 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      62992 bits [Y 31.4424 dB    U 38.2637 dB    V 38.6546 dB] [ET    40 ] [L0] [L1]
POC   47 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      63184 bits [Y 31.4098 dB    U 38.2922 dB    V 38.6468 dB] [ET    41 ] [L0] [L1]
POC   48 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      63120 bits [Y 31.4162 dB    U 38.2022 dB    V 38.7047 dB] [ET    41 ] [L0] [L1]
POC   49 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      63248 bits [Y 31.4556 dB    U 38.1636 dB    V 38.5543 dB] [ET    41 ] [L0] [L1]
POC   50 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      63376 bits [Y 31.4488 dB    U 38.1045 dB    V 38.5495 dB] [ET    40 ] [L0] [L1]
POC   51 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      62616 bits [Y 31.3976 dB    U 38.2227 dB    V 38.4482 dB] [ET    39 ] [L0] [L1]
POC   52 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      62472 bits [Y 31.3936 dB    U 38.2477 dB    V 38.4577 dB] [ET    40 ] [L0] [L1]
POC   53 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      62248 bits [Y 31.3900 dB    U 38.0936 dB    V 38.3647 dB] [ET    41 ] [L0] [L1]
POC   54 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      62584 bits [Y 31.4221 dB    U 38.1702 dB    V 38.6088 dB] [ET    39 ] [L0] [L1]
POC   55 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      61864 bits [Y 31.3570 dB    U 38.2431 dB    V 38.6068 dB] [ET    41 ] [L0] [L1]
POC   56 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      63032 bits [Y 31.4184 dB    U 38.1059 dB    V 38.5813 dB] [ET    42 ] [L0] [L1]
POC   57 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      62744 bits [Y 31.3732 dB    U 38.1462 dB    V 38.5438 dB] [ET    40 ] [L0] [L1]
POC   58 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      62768 bits [Y 31.4374 dB    U 38.1685 dB    V 38.5349 dB] [ET    40 ] [L0] [L1]
POC   59 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      62944 bits [Y 31.4075 dB    U 38.1656 dB    V 38.5765 dB] [ET    43 ] [L0] [L1]
POC   60 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      63016 bits [Y 31.4088 dB    U 38.1689 dB    V 38.5795 dB] [ET    41 ] [L0] [L1]
POC   61 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      62824 bits [Y 31.3986 dB    U 38.1330 dB    V 38.4381 dB] [ET    40 ] [L0] [L1]
POC   62 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      61856 bits [Y 31.3752 dB    U 38.0232 dB    V 38.5023 dB] [ET    41 ] [L0] [L1]
POC   63 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      63192 bits [Y 31.4551 dB    U 38.1636 dB    V 38.6131 dB] [ET    41 ] [L0] [L1]
POC   64 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      63136 bits [Y 31.4336 dB    U 38.1161 dB    V 38.4118 dB] [ET    41 ] [L0] [L1]
POC   65 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      62608 bits [Y 31.3962 dB    U 38.2082 dB    V 38.6004 dB] [ET    42 ] [L0] [L1]
POC   66 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      63000 bits [Y 31.3985 dB    U 38.1412 dB    V 38.7105 dB] [ET    46 ] [L0] [L1]
POC   67 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      62424 bits [Y 31.3933 dB    U 38.2897 dB    V 38.6067 dB] [ET    44 ] [L0] [L1]
POC   68 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      63480 bits [Y 31.4244 dB    U 38.2660 dB    V 38.5438 dB] [ET    43 ] [L0] [L1]
POC   69 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      62944 bits [Y 31.3842 dB    U 38.1451 dB    V 38.6295 dB] [ET    42 ] [L0] [L1]
POC   70 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      62776 bits [Y 31.3642 dB    U 38.1201 dB    V 38.5729 dB] [ET    43 ] [L0] [L1]
POC   71 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      62872 bits [Y 31.4205 dB    U 38.0861 dB    V 38.5375 dB] [ET    41 ] [L0] [L1]
POC   72 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      62696 bits [Y 31.4232 dB    U 38.1572 dB    V 38.6532 dB] [ET    42 ] [L0] [L1]
POC   73 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      61992 bits [Y 31.4018 dB    U 38.0156 dB    V 38.4141 dB] [ET    41 ] [L0] [L1]
POC   74 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      62416 bits [Y 31.4058 dB    U 38.1771 dB    V 38.6516 dB] [ET    42 ] [L0] [L1]
POC   75 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      62760 bits [Y 31.3964 dB    U 38.2101 dB    V 38.6899 dB] [ET    42 ] [L0] [L1]
POC   76 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      63320 bits [Y 31.4436 dB    U 38.1678 dB    V 38.6659 dB] [ET    41 ] [L0] [L1]
POC   77 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      63008 bits [Y 31.4112 dB    U 38.1171 dB    V 38.6418 dB] [ET    40 ] [L0] [L1]
POC   78 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      62856 bits [Y 31.4184 dB    U 38.0928 dB    V 38.5464 dB] [ET    39 ] [L0] [L1]
POC   79 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      63088 bits [Y 31.4010 dB    U 38.0936 dB    V 38.5933 dB] [ET    40 ] [L0] [L1]
POC   80 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      63208 bits [Y 31.4238 dB    U 38.2238 dB    V 38.5792 dB] [ET    40 ] [L0] [L1]

LayerId  0
	Total Frames |  Bitrate      Y-PSNR   U-PSNR   V-PSNR   YUV-PSNR 
	81           a  3766.6963    31.4073  38.1550  38.5384  32.7491  

 finished @ Mon Sep 11 21:39:35 2023
 Total Time:     3334.912 sec. [user]     3334.913 sec. [elapsed]
