POC   62 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     221464 bits [Y 43.9766 dB    U 47.7018 dB    V 50.7137 dB] [ET    66 ] [L0] [L1]
POC   63 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     221944 bits [Y 44.0111 dB    U 47.6552 dB    V 50.6682 dB] [ET    69 ] [L0] [L1]
POC   64 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     222488 bits [Y 44.0125 dB    U 47.6825 dB    V 50.7547 dB] [ET    67 ] [L0] [L1]
POC   65 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     221952 bits [Y 43.9759 dB    U 47.7048 dB    V 50.7298 dB] [ET    69 ] [L0] [L1]
POC   66 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     222032 bits [Y 43.9873 dB    U 47.6852 dB    V 50.7594 dB] [ET    68 ] [L0] [L1]
POC   67 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     221296 bits [Y 43.9824 dB    U 47.6855 dB    V 50.7553 dB] [ET    69 ] [L0] [L1]
POC   68 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     221352 bits [Y 43.9562 dB    U 47.7390 dB    V 50.6988 dB] [ET    70 ] [L0] [L1]
POC   69 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     222000 bits [Y 43.9918 dB    U 47.7387 dB    V 50.8043 dB] [ET    66 ] [L0] [L1]
POC   70 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     221848 bits [Y 43.9988 dB    U 47.6748 dB    V 50.8084 dB] [ET    68 ] [L0] [L1]
POC   71 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     221920 bits [Y 43.9831 dB    U 47.6526 dB    V 50.8372 dB] [ET    67 ] [L0] [L1]
POC   72 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     221768 bits [Y 44.0023 dB    U 47.7251 dB    V 50.7313 dB] [ET    67 ] [L0] [L1]
POC   73 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     221008 bits [Y 43.9911 dB    U 47.6808 dB    V 50.6877 dB] [ET    66 ] [L0] [L1]
POC   74 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     221864 bits [Y 44.0156 dB    U 47.7219 dB    V 50.7519 dB] [ET    68 ] [L0] [L1]
POC   75 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     220960 bits [Y 43.9802 dB    U 47.6891 dB    V 50.7139 dB] [ET    66 ] [L0] [L1]
POC   76 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     221424 bits [Y 44.0008 dB    U 47.6689 dB    V 50.7115 dB] [ET    65 ] [L0] [L1]
POC   77 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     221384 bits [Y 43.9705 dB    U 47.7596 dB    V 50.8417 dB] [ET    66 ] [L0] [L1]
POC   78 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     220736 bits [Y 43.9747 dB    U 47.5955 dB    V 50.7026 dB] [ET    65 ] [L0] [L1]
POC   79 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     221568 bits [Y 44.0043 dB    U 47.6794 dB    V 50.7078 dB] [ET    65 ] [L0] [L1]
POC   80 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     221272 bits [Y 43.9773 dB    U 47.7377 dB    V 50.7347 dB] [ET    67 ] [L0] [L1]

LayerId  0
	Total Frames |  Bitrate      Y-PSNR   U-PSNR   V-PSNR   YUV-PSNR 
	81           a  13317.3689   43.9834  47.7088  50.7251  45.1036  

 finished @ Mon Sep  4 17:51:43 2023
 Total Time:     5705.933 sec. [user]     5705.935 sec. [elapsed]
