POC   40 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     215976 bits [Y 37.3911 dB    U 45.6725 dB    V 46.6798 dB] [ET    78 ] [L0] [L1]
POC   41 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     216680 bits [Y 37.4058 dB    U 45.6566 dB    V 46.5906 dB] [ET    78 ] [L0] [L1]
POC   42 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     218088 bits [Y 37.4158 dB    U 45.6005 dB    V 46.6128 dB] [ET    76 ] [L0] [L1]
POC   43 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     217312 bits [Y 37.3914 dB    U 45.6182 dB    V 46.5649 dB] [ET    76 ] [L0] [L1]
POC   44 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     217112 bits [Y 37.3773 dB    U 45.7982 dB    V 46.6789 dB] [ET    78 ] [L0] [L1]
POC   45 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     216368 bits [Y 37.4115 dB    U 45.8056 dB    V 46.6894 dB] [ET    71 ] [L0] [L1]
POC   46 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     216864 bits [Y 37.3950 dB    U 45.8536 dB    V 46.6390 dB] [ET    77 ] [L0] [L1]
POC   47 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     217104 bits [Y 37.4032 dB    U 45.6307 dB    V 46.6766 dB] [ET    75 ] [L0] [L1]
POC   48 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     216408 bits [Y 37.3898 dB    U 45.7898 dB    V 46.8919 dB] [ET    75 ] [L0] [L1]
POC   49 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     215728 bits [Y 37.3742 dB    U 45.6678 dB    V 46.5340 dB] [ET    73 ] [L0] [L1]
POC   50 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     217680 bits [Y 37.4176 dB    U 45.5074 dB    V 46.4443 dB] [ET    76 ] [L0] [L1]
POC   51 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     219472 bits [Y 37.4271 dB    U 45.7164 dB    V 46.6586 dB] [ET    74 ] [L0] [L1]
POC   52 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     218440 bits [Y 37.4066 dB    U 45.6278 dB    V 46.6103 dB] [ET    73 ] [L0] [L1]
POC   53 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     217264 bits [Y 37.3856 dB    U 45.8259 dB    V 46.6119 dB] [ET    75 ] [L0] [L1]
POC   54 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     215952 bits [Y 37.3804 dB    U 45.7670 dB    V 46.8320 dB] [ET    71 ] [L0] [L1]
POC   55 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     216872 bits [Y 37.3858 dB    U 45.7558 dB    V 46.5683 dB] [ET    73 ] [L0] [L1]
POC   56 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     217832 bits [Y 37.4262 dB    U 45.5676 dB    V 46.5493 dB] [ET    73 ] [L0] [L1]
POC   57 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     216824 bits [Y 37.3999 dB    U 45.6935 dB    V 46.8009 dB] [ET    77 ] [L0] [L1]
POC   58 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     218152 bits [Y 37.4129 dB    U 45.5742 dB    V 46.4438 dB] [ET    74 ] [L0] [L1]
POC   59 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     217264 bits [Y 37.3998 dB    U 45.6469 dB    V 46.6777 dB] [ET    74 ] [L0] [L1]
POC   60 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     218816 bits [Y 37.4153 dB    U 45.7044 dB    V 46.6914 dB] [ET    73 ] [L0] [L1]
POC   61 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     218200 bits [Y 37.3854 dB    U 45.7459 dB    V 46.6388 dB] [ET    73 ] [L0] [L1]
POC   62 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     218656 bits [Y 37.4072 dB    U 45.6788 dB    V 46.5285 dB] [ET    72 ] [L0] [L1]
POC   63 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     217168 bits [Y 37.4082 dB    U 45.7004 dB    V 46.6913 dB] [ET    73 ] [L0] [L1]
POC   64 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     217504 bits [Y 37.4057 dB    U 45.8303 dB    V 46.7518 dB] [ET    75 ] [L0] [L1]
POC   65 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     216776 bits [Y 37.3853 dB    U 45.8197 dB    V 46.5511 dB] [ET    72 ] [L0] [L1]
POC   66 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     216000 bits [Y 37.3720 dB    U 45.8795 dB    V 46.7654 dB] [ET    73 ] [L0] [L1]
POC   67 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     217848 bits [Y 37.4198 dB    U 45.6656 dB    V 46.5748 dB] [ET    75 ] [L0] [L1]
POC   68 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     217616 bits [Y 37.3977 dB    U 45.5860 dB    V 46.5343 dB] [ET    75 ] [L0] [L1]
POC   69 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     218936 bits [Y 37.4114 dB    U 45.6484 dB    V 46.7114 dB] [ET    76 ] [L0] [L1]
POC   70 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     219352 bits [Y 37.4180 dB    U 45.7597 dB    V 46.6410 dB] [ET    75 ] [L0] [L1]
POC   71 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     218400 bits [Y 37.3871 dB    U 45.7483 dB    V 46.6313 dB] [ET    76 ] [L0] [L1]
POC   72 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     217064 bits [Y 37.4116 dB    U 45.6763 dB    V 46.6023 dB] [ET    73 ] [L0] [L1]
POC   73 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     217736 bits [Y 37.4017 dB    U 45.6761 dB    V 46.6508 dB] [ET    75 ] [L0] [L1]
POC   74 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     217896 bits [Y 37.4196 dB    U 45.7458 dB    V 46.7191 dB] [ET    73 ] [L0] [L1]
POC   75 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     218104 bits [Y 37.4371 dB    U 45.6331 dB    V 46.5406 dB] [ET    74 ] [L0] [L1]
POC   76 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     217856 bits [Y 37.4258 dB    U 45.6615 dB    V 46.6784 dB] [ET    76 ] [L0] [L1]
POC   77 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     217872 bits [Y 37.3942 dB    U 45.5644 dB    V 46.5668 dB] [ET    76 ] [L0] [L1]
POC   78 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     218432 bits [Y 37.4055 dB    U 45.5719 dB    V 46.5263 dB] [ET    76 ] [L0] [L1]
POC   79 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     219416 bits [Y 37.4176 dB    U 45.6493 dB    V 46.6212 dB] [ET    74 ] [L0] [L1]
POC   80 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     218256 bits [Y 37.4016 dB    U 45.6946 dB    V 46.5064 dB] [ET    76 ] [L0] [L1]

LayerId  0
	Total Frames |  Bitrate      Y-PSNR   U-PSNR   V-PSNR   YUV-PSNR 
	81           a  13010.8800   37.4005  45.7071  46.6240  38.8804  

 finished @ Wed Sep  6 17:31:42 2023
 Total Time:     6129.450 sec. [user]     6129.451 sec. [elapsed]
