POC   59 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     239680 bits [Y 43.5258 dB    U 44.3600 dB    V 45.5702 dB] [ET    84 ] [L0] [L1]
POC   60 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     239096 bits [Y 43.5223 dB    U 44.3486 dB    V 45.5281 dB] [ET    81 ] [L0] [L1]
POC   61 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     238936 bits [Y 43.5271 dB    U 44.3246 dB    V 45.6056 dB] [ET    84 ] [L0] [L1]
POC   62 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     238584 bits [Y 43.5209 dB    U 44.3919 dB    V 45.5490 dB] [ET    83 ] [L0] [L1]
POC   63 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     238560 bits [Y 43.4981 dB    U 44.4707 dB    V 45.6143 dB] [ET    84 ] [L0] [L1]
POC   64 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     237552 bits [Y 43.4563 dB    U 44.3920 dB    V 45.5353 dB] [ET    84 ] [L0] [L1]
POC   65 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     239808 bits [Y 43.5181 dB    U 44.3657 dB    V 45.5929 dB] [ET    83 ] [L0] [L1]
POC   66 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     238896 bits [Y 43.5067 dB    U 44.3940 dB    V 45.5218 dB] [ET    84 ] [L0] [L1]
POC   67 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     240336 bits [Y 43.5263 dB    U 44.4222 dB    V 45.6142 dB] [ET    86 ] [L0] [L1]
POC   68 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     239576 bits [Y 43.5149 dB    U 44.4111 dB    V 45.6497 dB] [ET    83 ] [L0] [L1]
POC   69 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     239224 bits [Y 43.5092 dB    U 44.3882 dB    V 45.5974 dB] [ET    81 ] [L0] [L1]
POC   70 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     239200 bits [Y 43.5350 dB    U 44.3480 dB    V 45.6137 dB] [ET    83 ] [L0] [L1]
POC   71 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     238952 bits [Y 43.5258 dB    U 44.3999 dB    V 45.5440 dB] [ET    82 ] [L0] [L1]
POC   72 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     237944 bits [Y 43.4596 dB    U 44.3653 dB    V 45.5412 dB] [ET    84 ] [L0] [L1]
