POC   57 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     201728 bits [Y 39.1269 dB    U 43.3051 dB    V 44.1735 dB] [ET    66 ] [L0] [L1]
POC   58 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     201896 bits [Y 39.1434 dB    U 43.3742 dB    V 44.1832 dB] [ET    64 ] [L0] [L1]
POC   59 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     201416 bits [Y 39.1235 dB    U 43.3702 dB    V 44.2407 dB] [ET    65 ] [L0] [L1]
POC   60 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     201800 bits [Y 39.1249 dB    U 43.2420 dB    V 44.1325 dB] [ET    67 ] [L0] [L1]
POC   61 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     201712 bits [Y 39.1206 dB    U 43.3550 dB    V 44.3644 dB] [ET    64 ] [L0] [L1]
POC   62 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     201648 bits [Y 39.1338 dB    U 43.3644 dB    V 44.3619 dB] [ET    64 ] [L0] [L1]
POC   63 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     201848 bits [Y 39.1267 dB    U 43.4339 dB    V 44.1903 dB] [ET    66 ] [L0] [L1]
POC   64 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     201696 bits [Y 39.1336 dB    U 43.3249 dB    V 44.3559 dB] [ET    67 ] [L0] [L1]
POC   65 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     201576 bits [Y 39.1263 dB    U 43.3323 dB    V 44.2315 dB] [ET    65 ] [L0] [L1]
POC   66 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     201080 bits [Y 39.1197 dB    U 43.3710 dB    V 44.1640 dB] [ET    65 ] [L0] [L1]
POC   67 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     201968 bits [Y 39.1391 dB    U 43.3566 dB    V 44.2195 dB] [ET    66 ] [L0] [L1]
POC   68 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     202056 bits [Y 39.1373 dB    U 43.3809 dB    V 44.1794 dB] [ET    64 ] [L0] [L1]
POC   69 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     202056 bits [Y 39.1461 dB    U 43.2951 dB    V 44.2151 dB] [ET    65 ] [L0] [L1]
POC   70 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     201208 bits [Y 39.0977 dB    U 43.3728 dB    V 44.3682 dB] [ET    66 ] [L0] [L1]
POC   71 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     201336 bits [Y 39.1066 dB    U 43.3235 dB    V 44.3638 dB] [ET    65 ] [L0] [L1]
POC   72 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     201440 bits [Y 39.1045 dB    U 43.2731 dB    V 44.1593 dB] [ET    66 ] [L0] [L1]
POC   73 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     202056 bits [Y 39.1287 dB    U 43.2955 dB    V 44.2550 dB] [ET    66 ] [L0] [L1]
POC   74 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     202320 bits [Y 39.1314 dB    U 43.2274 dB    V 44.1602 dB] [ET    66 ] [L0] [L1]
POC   75 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     201520 bits [Y 39.1155 dB    U 43.2750 dB    V 44.1644 dB] [ET    63 ] [L0] [L1]
POC   76 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     201680 bits [Y 39.1248 dB    U 43.2967 dB    V 44.3390 dB] [ET    65 ] [L0] [L1]
POC   77 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     202600 bits [Y 39.1341 dB    U 43.2010 dB    V 44.2260 dB] [ET    67 ] [L0] [L1]
POC   78 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     202392 bits [Y 39.1267 dB    U 43.3716 dB    V 44.2854 dB] [ET    64 ] [L0] [L1]
POC   79 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     202648 bits [Y 39.1364 dB    U 43.2892 dB    V 44.2768 dB] [ET    66 ] [L0] [L1]
POC   80 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     201056 bits [Y 39.0753 dB    U 43.3613 dB    V 44.3366 dB] [ET    65 ] [L0] [L1]

LayerId  0
	Total Frames |  Bitrate      Y-PSNR   U-PSNR   V-PSNR   YUV-PSNR 
	81           a  12116.0119   39.1279  43.3302  44.2570  40.2004  

 finished @ Wed Sep  6 17:19:10 2023
 Total Time:     5376.219 sec. [user]     5376.219 sec. [elapsed]
