POC   39 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     419544 bits [Y 42.1767 dB    U 45.4429 dB    V 46.0092 dB] [ET    98 ] [L0] [L1]
POC   40 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     419648 bits [Y 42.1824 dB    U 45.3520 dB    V 45.8973 dB] [ET   101 ] [L0] [L1]
POC   41 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     419472 bits [Y 42.1725 dB    U 45.3101 dB    V 45.9188 dB] [ET   101 ] [L0] [L1]
POC   42 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     419840 bits [Y 42.1822 dB    U 45.3685 dB    V 45.8649 dB] [ET   101 ] [L0] [L1]
POC   43 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     420192 bits [Y 42.1842 dB    U 45.4012 dB    V 45.8553 dB] [ET   103 ] [L0] [L1]
POC   44 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     420096 bits [Y 42.1733 dB    U 45.3882 dB    V 45.8795 dB] [ET   101 ] [L0] [L1]
POC   45 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     419232 bits [Y 42.1921 dB    U 45.4260 dB    V 45.9409 dB] [ET    96 ] [L0] [L1]
POC   46 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     418792 bits [Y 42.1836 dB    U 45.4143 dB    V 45.8920 dB] [ET    98 ] [L0] [L1]
POC   47 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     419288 bits [Y 42.1752 dB    U 45.4836 dB    V 45.9167 dB] [ET    99 ] [L0] [L1]
POC   48 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     421576 bits [Y 42.2093 dB    U 45.4278 dB    V 45.8946 dB] [ET    99 ] [L0] [L1]
POC   49 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     419936 bits [Y 42.1889 dB    U 45.3888 dB    V 45.9133 dB] [ET   102 ] [L0] [L1]
POC   50 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     420720 bits [Y 42.1932 dB    U 45.4216 dB    V 45.9676 dB] [ET    97 ] [L0] [L1]
POC   51 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     419616 bits [Y 42.1778 dB    U 45.4177 dB    V 45.8740 dB] [ET    98 ] [L0] [L1]
POC   52 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     419560 bits [Y 42.1815 dB    U 45.3887 dB    V 45.9100 dB] [ET   100 ] [L0] [L1]
POC   53 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     421200 bits [Y 42.1920 dB    U 45.3736 dB    V 45.9161 dB] [ET   102 ] [L0] [L1]
POC   54 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     418168 bits [Y 42.1897 dB    U 45.3643 dB    V 45.9682 dB] [ET   100 ] [L0] [L1]
POC   55 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     418608 bits [Y 42.1809 dB    U 45.3550 dB    V 45.9617 dB] [ET   103 ] [L0] [L1]
POC   56 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     419320 bits [Y 42.1854 dB    U 45.4247 dB    V 45.9139 dB] [ET    96 ] [L0] [L1]
POC   57 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     419760 bits [Y 42.1703 dB    U 45.4386 dB    V 45.9712 dB] [ET    98 ] [L0] [L1]
POC   58 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     419264 bits [Y 42.1585 dB    U 45.3741 dB    V 45.9926 dB] [ET   102 ] [L0] [L1]
POC   59 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     419600 bits [Y 42.1609 dB    U 45.4078 dB    V 45.8986 dB] [ET   102 ] [L0] [L1]
POC   60 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     419568 bits [Y 42.1485 dB    U 45.3669 dB    V 45.8958 dB] [ET   100 ] [L0] [L1]
POC   61 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     420184 bits [Y 42.1678 dB    U 45.4576 dB    V 45.9013 dB] [ET   101 ] [L0] [L1]
POC   62 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     419128 bits [Y 42.1444 dB    U 45.3765 dB    V 45.8418 dB] [ET   100 ] [L0] [L1]
POC   63 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     417480 bits [Y 42.1860 dB    U 45.3787 dB    V 45.9692 dB] [ET   100 ] [L0] [L1]
POC   64 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     419304 bits [Y 42.1714 dB    U 45.3890 dB    V 45.9926 dB] [ET   103 ] [L0] [L1]
POC   65 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     419016 bits [Y 42.1757 dB    U 45.4834 dB    V 45.9520 dB] [ET    97 ] [L0] [L1]
POC   66 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     419888 bits [Y 42.1793 dB    U 45.4926 dB    V 45.9963 dB] [ET    98 ] [L0] [L1]
POC   67 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     421288 bits [Y 42.1929 dB    U 45.4454 dB    V 45.9778 dB] [ET   100 ] [L0] [L1]
POC   68 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     419928 bits [Y 42.1732 dB    U 45.4279 dB    V 45.8892 dB] [ET   101 ] [L0] [L1]
POC   69 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     419576 bits [Y 42.1609 dB    U 45.4209 dB    V 45.9396 dB] [ET   101 ] [L0] [L1]
POC   70 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     420856 bits [Y 42.1752 dB    U 45.4662 dB    V 45.9044 dB] [ET   100 ] [L0] [L1]
POC   71 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     419160 bits [Y 42.1474 dB    U 45.3833 dB    V 45.9222 dB] [ET    99 ] [L0] [L1]
POC   72 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     418080 bits [Y 42.1978 dB    U 45.4145 dB    V 45.9878 dB] [ET   101 ] [L0] [L1]
POC   73 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     417888 bits [Y 42.1667 dB    U 45.4657 dB    V 45.9149 dB] [ET    98 ] [L0] [L1]
POC   74 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     418896 bits [Y 42.1997 dB    U 45.4990 dB    V 46.0081 dB] [ET   104 ] [L0] [L1]
POC   75 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     418952 bits [Y 42.1778 dB    U 45.5250 dB    V 46.0447 dB] [ET   101 ] [L0] [L1]
POC   76 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     418752 bits [Y 42.1707 dB    U 45.4195 dB    V 46.0423 dB] [ET   100 ] [L0] [L1]
POC   77 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     419592 bits [Y 42.1971 dB    U 45.4551 dB    V 45.9084 dB] [ET   102 ] [L0] [L1]
POC   78 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     418640 bits [Y 42.1546 dB    U 45.4928 dB    V 45.8454 dB] [ET   104 ] [L0] [L1]
POC   79 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     419992 bits [Y 42.1686 dB    U 45.4700 dB    V 45.9121 dB] [ET    99 ] [L0] [L1]
POC   80 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     420792 bits [Y 42.1815 dB    U 45.3057 dB    V 45.8722 dB] [ET    98 ] [L0] [L1]

LayerId  0
	Total Frames |  Bitrate      Y-PSNR   U-PSNR   V-PSNR   YUV-PSNR 
	81           a  25157.1674   42.1809  45.4077  45.9110  43.0609  

 finished @ Mon Sep  4 16:16:37 2023
 Total Time:     8125.878 sec. [user]     8125.879 sec. [elapsed]
