POC   67 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     332224 bits [Y 42.7719 dB    U 46.1862 dB    V 47.0495 dB] [ET    88 ] [L0] [L1]
POC   68 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     332352 bits [Y 42.7627 dB    U 46.2839 dB    V 47.0881 dB] [ET    90 ] [L0] [L1]
POC   69 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     333016 bits [Y 42.7757 dB    U 46.2221 dB    V 46.9777 dB] [ET    88 ] [L0] [L1]
POC   70 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     332952 bits [Y 42.7899 dB    U 46.2696 dB    V 47.0533 dB] [ET    88 ] [L0] [L1]
POC   71 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     332056 bits [Y 42.7707 dB    U 46.2184 dB    V 46.9773 dB] [ET    88 ] [L0] [L1]
POC   72 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     333352 bits [Y 42.7878 dB    U 46.1437 dB    V 47.0110 dB] [ET    90 ] [L0] [L1]
POC   73 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     333384 bits [Y 42.7707 dB    U 46.2356 dB    V 47.0763 dB] [ET    88 ] [L0] [L1]
POC   74 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     333040 bits [Y 42.7683 dB    U 46.1744 dB    V 47.0344 dB] [ET    85 ] [L0] [L1]
POC   75 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     333760 bits [Y 42.8020 dB    U 46.2485 dB    V 47.0499 dB] [ET    87 ] [L0] [L1]
POC   76 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     332904 bits [Y 42.7690 dB    U 46.1397 dB    V 46.9742 dB] [ET    85 ] [L0] [L1]
POC   77 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     334048 bits [Y 42.7975 dB    U 46.2593 dB    V 47.0228 dB] [ET    83 ] [L0] [L1]
POC   78 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     333880 bits [Y 42.7838 dB    U 46.2927 dB    V 47.0575 dB] [ET    85 ] [L0] [L1]
POC   79 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     333504 bits [Y 42.7752 dB    U 46.3136 dB    V 46.9649 dB] [ET    86 ] [L0] [L1]
POC   80 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     334408 bits [Y 42.8061 dB    U 46.2540 dB    V 47.0201 dB] [ET    82 ] [L0] [L1]

LayerId  0
	Total Frames |  Bitrate      Y-PSNR   U-PSNR   V-PSNR   YUV-PSNR 
	81           a  19982.4711   42.7803  46.2283  47.0229  43.7236  

 finished @ Mon Sep  4 12:40:03 2023
 Total Time:     7104.537 sec. [user]     7104.538 sec. [elapsed]
