POC   43 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      81088 bits [Y 36.9138 dB    U 44.3986 dB    V 45.8733 dB] [ET    33 ] [L0] [L1]
POC   44 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      81200 bits [Y 36.9497 dB    U 44.2069 dB    V 45.9245 dB] [ET    33 ] [L0] [L1]
POC   45 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      79736 bits [Y 36.9707 dB    U 44.3321 dB    V 45.6038 dB] [ET    34 ] [L0] [L1]
POC   46 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      80240 bits [Y 36.9793 dB    U 44.4947 dB    V 45.7310 dB] [ET    34 ] [L0] [L1]
POC   47 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      79800 bits [Y 36.9071 dB    U 44.5019 dB    V 45.7886 dB] [ET    33 ] [L0] [L1]
POC   48 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      79328 bits [Y 36.8697 dB    U 44.2385 dB    V 45.5992 dB] [ET    35 ] [L0] [L1]
POC   49 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      79536 bits [Y 36.8931 dB    U 44.3870 dB    V 45.6008 dB] [ET    35 ] [L0] [L1]
POC   50 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      80776 bits [Y 36.9697 dB    U 44.3243 dB    V 45.6504 dB] [ET    34 ] [L0] [L1]
POC   51 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      80904 bits [Y 36.9472 dB    U 44.1530 dB    V 45.7413 dB] [ET    34 ] [L0] [L1]
POC   52 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      80808 bits [Y 36.9543 dB    U 44.2754 dB    V 45.7132 dB] [ET    36 ] [L0] [L1]
POC   53 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      81056 bits [Y 36.9200 dB    U 44.3210 dB    V 45.7589 dB] [ET    35 ] [L0] [L1]
POC   54 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      79952 bits [Y 37.0002 dB    U 44.3774 dB    V 45.4948 dB] [ET    35 ] [L0] [L1]
POC   55 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      79576 bits [Y 36.9491 dB    U 44.3401 dB    V 45.5853 dB] [ET    33 ] [L0] [L1]
