POC   54 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     239608 bits [Y 38.0356 dB    U 42.2059 dB    V 42.5876 dB] [ET    83 ] [L0] [L1]
POC   55 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     240360 bits [Y 38.0205 dB    U 42.2645 dB    V 42.6663 dB] [ET    83 ] [L0] [L1]
POC   56 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     239984 bits [Y 38.0225 dB    U 42.2519 dB    V 42.5918 dB] [ET    79 ] [L0] [L1]
POC   57 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     240304 bits [Y 38.0169 dB    U 42.1820 dB    V 42.5975 dB] [ET    80 ] [L0] [L1]
POC   58 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     239944 bits [Y 38.0286 dB    U 42.2536 dB    V 42.5740 dB] [ET    81 ] [L0] [L1]
POC   59 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     240640 bits [Y 38.0040 dB    U 42.1753 dB    V 42.6508 dB] [ET    82 ] [L0] [L1]
POC   60 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     240440 bits [Y 38.0311 dB    U 42.1536 dB    V 42.4536 dB] [ET    84 ] [L0] [L1]
POC   61 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     240480 bits [Y 38.0250 dB    U 42.2229 dB    V 42.5630 dB] [ET    82 ] [L0] [L1]
POC   62 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     240304 bits [Y 38.0093 dB    U 42.1752 dB    V 42.5614 dB] [ET    82 ] [L0] [L1]
POC   63 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     240088 bits [Y 38.0411 dB    U 42.1466 dB    V 42.5483 dB] [ET    81 ] [L0] [L1]
POC   64 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     240760 bits [Y 38.0435 dB    U 42.2110 dB    V 42.6146 dB] [ET    81 ] [L0] [L1]
POC   65 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     239792 bits [Y 38.0144 dB    U 42.2249 dB    V 42.5998 dB] [ET    82 ] [L0] [L1]
POC   66 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     240672 bits [Y 38.0286 dB    U 42.1954 dB    V 42.6038 dB] [ET    79 ] [L0] [L1]
POC   67 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     240112 bits [Y 38.0110 dB    U 42.2671 dB    V 42.6419 dB] [ET    81 ] [L0] [L1]
POC   68 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     241440 bits [Y 38.0534 dB    U 42.1637 dB    V 42.5846 dB] [ET    85 ] [L0] [L1]
POC   69 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     240672 bits [Y 38.0052 dB    U 42.2382 dB    V 42.6697 dB] [ET    88 ] [L0] [L1]
POC   70 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     240816 bits [Y 38.0133 dB    U 42.1976 dB    V 42.6239 dB] [ET    85 ] [L0] [L1]
POC   71 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     240136 bits [Y 38.0082 dB    U 42.2386 dB    V 42.6455 dB] [ET    84 ] [L0] [L1]
POC   72 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     240192 bits [Y 38.0484 dB    U 42.2576 dB    V 42.7430 dB] [ET    85 ] [L0] [L1]
POC   73 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     239192 bits [Y 38.0130 dB    U 42.2966 dB    V 42.5946 dB] [ET    86 ] [L0] [L1]
POC   74 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     239648 bits [Y 38.0243 dB    U 42.1482 dB    V 42.6643 dB] [ET    82 ] [L0] [L1]
POC   75 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     239696 bits [Y 38.0299 dB    U 42.2562 dB    V 42.7335 dB] [ET    85 ] [L0] [L1]
POC   76 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     240072 bits [Y 38.0358 dB    U 42.1951 dB    V 42.5686 dB] [ET    84 ] [L0] [L1]
POC   77 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     240200 bits [Y 38.0197 dB    U 42.2411 dB    V 42.6179 dB] [ET    83 ] [L0] [L1]
POC   78 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     240128 bits [Y 38.0218 dB    U 42.2796 dB    V 42.5846 dB] [ET    87 ] [L0] [L1]
POC   79 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     240952 bits [Y 38.0266 dB    U 42.1672 dB    V 42.6083 dB] [ET    85 ] [L0] [L1]
POC   80 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     241080 bits [Y 38.0332 dB    U 42.2139 dB    V 42.6036 dB] [ET    85 ] [L0] [L1]

LayerId  0
	Total Frames |  Bitrate      Y-PSNR   U-PSNR   V-PSNR   YUV-PSNR 
	81           a  14431.7274   38.0325  42.2152  42.5592  39.0613  

 finished @ Mon Sep 11 12:18:35 2023
 Total Time:     7009.229 sec. [user]     7009.231 sec. [elapsed]
