POC   60 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     415904 bits [Y 41.7991 dB    U 48.2931 dB    V 49.2566 dB] [ET    99 ] [L0] [L1]
POC   61 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     416672 bits [Y 41.7990 dB    U 48.4073 dB    V 49.2936 dB] [ET    94 ] [L0] [L1]
POC   62 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     416960 bits [Y 41.8091 dB    U 48.3966 dB    V 49.3294 dB] [ET    98 ] [L0] [L1]
POC   63 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     414312 bits [Y 41.7751 dB    U 48.5647 dB    V 49.4516 dB] [ET    92 ] [L0] [L1]
POC   64 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     414816 bits [Y 41.7792 dB    U 48.5212 dB    V 49.3249 dB] [ET    98 ] [L0] [L1]
POC   65 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     415776 bits [Y 41.8040 dB    U 48.3524 dB    V 49.2896 dB] [ET    97 ] [L0] [L1]
POC   66 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     414744 bits [Y 41.7998 dB    U 48.4481 dB    V 49.3238 dB] [ET    96 ] [L0] [L1]
POC   67 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     415304 bits [Y 41.7960 dB    U 48.3946 dB    V 49.3638 dB] [ET    96 ] [L0] [L1]
POC   68 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     416664 bits [Y 41.8094 dB    U 48.3986 dB    V 49.2649 dB] [ET    95 ] [L0] [L1]
POC   69 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     417552 bits [Y 41.8067 dB    U 48.4216 dB    V 49.3327 dB] [ET    97 ] [L0] [L1]
POC   70 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     416824 bits [Y 41.8039 dB    U 48.4094 dB    V 49.2123 dB] [ET    93 ] [L0] [L1]
POC   71 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     416016 bits [Y 41.7862 dB    U 48.4119 dB    V 49.3095 dB] [ET    93 ] [L0] [L1]
POC   72 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     415024 bits [Y 41.7988 dB    U 48.4840 dB    V 49.3150 dB] [ET    91 ] [L0] [L1]
POC   73 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     415816 bits [Y 41.7891 dB    U 48.4104 dB    V 49.3834 dB] [ET    92 ] [L0] [L1]
POC   74 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     415216 bits [Y 41.8069 dB    U 48.4619 dB    V 49.2071 dB] [ET    90 ] [L0] [L1]
POC   75 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     414464 bits [Y 41.7974 dB    U 48.4457 dB    V 49.2922 dB] [ET    88 ] [L0] [L1]
POC   76 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     416344 bits [Y 41.8156 dB    U 48.4553 dB    V 49.3575 dB] [ET    90 ] [L0] [L1]
POC   77 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     415136 bits [Y 41.7702 dB    U 48.4828 dB    V 49.3537 dB] [ET    91 ] [L0] [L1]
POC   78 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     415416 bits [Y 41.7851 dB    U 48.4199 dB    V 49.3797 dB] [ET    88 ] [L0] [L1]
POC   79 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     417160 bits [Y 41.8143 dB    U 48.4489 dB    V 49.4032 dB] [ET    87 ] [L0] [L1]
POC   80 LId:  0 TId: 0 ( CRA, I-SLICE, QP 22 )     416528 bits [Y 41.8014 dB    U 48.4510 dB    V 49.3360 dB] [ET    88 ] [L0] [L1]

LayerId  0
	Total Frames |  Bitrate      Y-PSNR   U-PSNR   V-PSNR   YUV-PSNR 
	81           a  24908.4919   41.7972  48.4221  49.3210  43.1496  

 finished @ Mon Sep  4 12:50:43 2023
 Total Time:     7745.860 sec. [user]     7745.860 sec. [elapsed]
