POC   36 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      65480 bits [Y 32.3860 dB    U 38.7816 dB    V 40.5687 dB] [ET    38 ] [L0] [L1]
POC   37 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      65608 bits [Y 32.3679 dB    U 38.9782 dB    V 41.0487 dB] [ET    39 ] [L0] [L1]
POC   38 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      66152 bits [Y 32.3881 dB    U 38.9524 dB    V 40.7399 dB] [ET    37 ] [L0] [L1]
POC   39 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      65904 bits [Y 32.3929 dB    U 38.9035 dB    V 40.8363 dB] [ET    35 ] [L0] [L1]
POC   40 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      66288 bits [Y 32.4264 dB    U 38.7280 dB    V 40.8937 dB] [ET    37 ] [L0] [L1]
POC   41 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      65824 bits [Y 32.4045 dB    U 38.9283 dB    V 40.8673 dB] [ET    36 ] [L0] [L1]
POC   42 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      65912 bits [Y 32.4104 dB    U 38.9418 dB    V 40.7407 dB] [ET    39 ] [L0] [L1]
POC   43 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      65760 bits [Y 32.3948 dB    U 38.7516 dB    V 40.6886 dB] [ET    37 ] [L0] [L1]
POC   44 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      65864 bits [Y 32.3938 dB    U 38.8648 dB    V 41.0384 dB] [ET    38 ] [L0] [L1]
POC   45 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      65472 bits [Y 32.3836 dB    U 38.8674 dB    V 40.7540 dB] [ET    40 ] [L0] [L1]
POC   46 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      65640 bits [Y 32.3747 dB    U 38.9137 dB    V 40.6939 dB] [ET    41 ] [L0] [L1]
POC   47 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      66008 bits [Y 32.4097 dB    U 38.8918 dB    V 40.7933 dB] [ET    41 ] [L0] [L1]
POC   48 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      65536 bits [Y 32.3791 dB    U 38.8505 dB    V 40.5724 dB] [ET    41 ] [L0] [L1]
POC   49 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      66328 bits [Y 32.4276 dB    U 38.8275 dB    V 40.8966 dB] [ET    39 ] [L0] [L1]
POC   50 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      65960 bits [Y 32.4120 dB    U 38.8815 dB    V 40.7321 dB] [ET    41 ] [L0] [L1]
POC   51 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      66128 bits [Y 32.4161 dB    U 38.9033 dB    V 40.7538 dB] [ET    40 ] [L0] [L1]
POC   52 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      65680 bits [Y 32.3898 dB    U 38.9341 dB    V 40.9587 dB] [ET    41 ] [L0] [L1]
POC   53 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      66080 bits [Y 32.3890 dB    U 38.8845 dB    V 41.0124 dB] [ET    41 ] [L0] [L1]
POC   54 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      65776 bits [Y 32.4253 dB    U 38.8885 dB    V 40.7326 dB] [ET    41 ] [L0] [L1]
POC   55 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      65576 bits [Y 32.3963 dB    U 38.8771 dB    V 40.9548 dB] [ET    41 ] [L0] [L1]
POC   56 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      65704 bits [Y 32.3782 dB    U 38.8228 dB    V 40.7827 dB] [ET    39 ] [L0] [L1]
POC   57 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      65808 bits [Y 32.3889 dB    U 38.8578 dB    V 40.6688 dB] [ET    39 ] [L0] [L1]
POC   58 LId:  0 TId: 0 ( CRA, I-SLICE, QP 37 )      65992 bits [Y 32.4163 dB    U 38.9452 dB    V 40.6820 dB] [ET    40 ] [L0] [L1]
