POC   42 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     385928 bits [Y 37.6262 dB    U 41.6586 dB    V 40.1335 dB] [ET    81 ] [L0] [L1]
POC   43 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     385688 bits [Y 37.6250 dB    U 41.6744 dB    V 40.1323 dB] [ET    83 ] [L0] [L1]
POC   44 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     384568 bits [Y 37.6178 dB    U 41.5919 dB    V 40.1454 dB] [ET    81 ] [L0] [L1]
POC   45 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     385264 bits [Y 37.6064 dB    U 41.6725 dB    V 40.1086 dB] [ET    80 ] [L0] [L1]
POC   46 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     384136 bits [Y 37.5980 dB    U 41.5703 dB    V 40.0230 dB] [ET    82 ] [L0] [L1]
POC   47 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     384360 bits [Y 37.5912 dB    U 41.5953 dB    V 40.0982 dB] [ET    80 ] [L0] [L1]
POC   48 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     384976 bits [Y 37.6003 dB    U 41.6535 dB    V 40.0779 dB] [ET    81 ] [L0] [L1]
POC   49 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     383672 bits [Y 37.5824 dB    U 41.5808 dB    V 40.0922 dB] [ET    82 ] [L0] [L1]
POC   50 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     385616 bits [Y 37.5940 dB    U 41.7156 dB    V 40.1031 dB] [ET    82 ] [L0] [L1]
POC   51 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     384344 bits [Y 37.5692 dB    U 41.6238 dB    V 40.1028 dB] [ET    82 ] [L0] [L1]
POC   52 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     383760 bits [Y 37.5796 dB    U 41.5724 dB    V 40.0889 dB] [ET    81 ] [L0] [L1]
POC   53 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     385696 bits [Y 37.6276 dB    U 41.6365 dB    V 40.0946 dB] [ET    80 ] [L0] [L1]
POC   54 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     385568 bits [Y 37.6010 dB    U 41.6133 dB    V 40.0426 dB] [ET    83 ] [L0] [L1]
POC   55 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     384776 bits [Y 37.5934 dB    U 41.6071 dB    V 39.9891 dB] [ET    82 ] [L0] [L1]
POC   56 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     386824 bits [Y 37.6389 dB    U 41.6899 dB    V 40.0939 dB] [ET    82 ] [L0] [L1]
POC   57 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     385896 bits [Y 37.6100 dB    U 41.6417 dB    V 40.0438 dB] [ET    83 ] [L0] [L1]
POC   58 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     385504 bits [Y 37.5990 dB    U 41.6498 dB    V 40.1069 dB] [ET    82 ] [L0] [L1]
POC   59 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     386488 bits [Y 37.6122 dB    U 41.6352 dB    V 40.1184 dB] [ET    85 ] [L0] [L1]
POC   60 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     385952 bits [Y 37.6055 dB    U 41.6724 dB    V 40.1084 dB] [ET    87 ] [L0] [L1]
POC   61 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     386232 bits [Y 37.6195 dB    U 41.6556 dB    V 40.0783 dB] [ET    84 ] [L0] [L1]
POC   62 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     387000 bits [Y 37.6566 dB    U 41.5745 dB    V 40.0360 dB] [ET    86 ] [L0] [L1]
POC   63 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     385904 bits [Y 37.6029 dB    U 41.6063 dB    V 40.0838 dB] [ET    84 ] [L0] [L1]
POC   64 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     385632 bits [Y 37.6026 dB    U 41.5803 dB    V 40.0252 dB] [ET    83 ] [L0] [L1]
POC   65 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     385496 bits [Y 37.5900 dB    U 41.5546 dB    V 40.1138 dB] [ET    84 ] [L0] [L1]
POC   66 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     385568 bits [Y 37.6084 dB    U 41.6238 dB    V 40.0892 dB] [ET    85 ] [L0] [L1]
POC   67 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     386088 bits [Y 37.5960 dB    U 41.6241 dB    V 40.0801 dB] [ET    83 ] [L0] [L1]
POC   68 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     385600 bits [Y 37.5821 dB    U 41.5979 dB    V 40.0555 dB] [ET    82 ] [L0] [L1]
POC   69 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     386096 bits [Y 37.5974 dB    U 41.6339 dB    V 39.9923 dB] [ET    87 ] [L0] [L1]
POC   70 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     385096 bits [Y 37.5806 dB    U 41.6097 dB    V 40.0938 dB] [ET    84 ] [L0] [L1]
