POC   69 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     128512 bits [Y 40.3540 dB    U 44.7585 dB    V 48.7317 dB] [ET    53 ] [L0] [L1]
POC   70 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     127776 bits [Y 40.3496 dB    U 44.6868 dB    V 48.7240 dB] [ET    52 ] [L0] [L1]
POC   71 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     128408 bits [Y 40.3454 dB    U 44.7853 dB    V 48.8622 dB] [ET    52 ] [L0] [L1]
POC   72 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     128984 bits [Y 40.4260 dB    U 44.7705 dB    V 48.7967 dB] [ET    54 ] [L0] [L1]
POC   73 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     128936 bits [Y 40.4081 dB    U 44.7642 dB    V 48.6991 dB] [ET    54 ] [L0] [L1]
POC   74 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     128432 bits [Y 40.3849 dB    U 44.7413 dB    V 48.8928 dB] [ET    53 ] [L0] [L1]
POC   75 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     127888 bits [Y 40.3783 dB    U 44.7611 dB    V 48.7183 dB] [ET    52 ] [L0] [L1]
POC   76 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     128616 bits [Y 40.4065 dB    U 44.7363 dB    V 48.8810 dB] [ET    54 ] [L0] [L1]
POC   77 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     128296 bits [Y 40.3747 dB    U 44.7984 dB    V 48.8111 dB] [ET    51 ] [L0] [L1]
POC   78 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     128400 bits [Y 40.3638 dB    U 44.8327 dB    V 48.7195 dB] [ET    53 ] [L0] [L1]
POC   79 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     128296 bits [Y 40.3606 dB    U 44.7835 dB    V 48.9300 dB] [ET    53 ] [L0] [L1]
POC   80 LId:  0 TId: 0 ( CRA, I-SLICE, QP 27 )     128344 bits [Y 40.3692 dB    U 44.7810 dB    V 48.7738 dB] [ET    52 ] [L0] [L1]

LayerId  0
	Total Frames |  Bitrate      Y-PSNR   U-PSNR   V-PSNR   YUV-PSNR 
	81           a  7721.8311    40.3673  44.7307  48.7774  41.6065  

 finished @ Mon Sep 11 22:53:16 2023
 Total Time:     4420.727 sec. [user]     4420.728 sec. [elapsed]
