POC   44 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      95072 bits [Y 33.9373 dB    U 42.9563 dB    V 43.9549 dB] [ET    61 ] [L0] [L1]
POC   45 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      95600 bits [Y 33.9811 dB    U 43.2755 dB    V 44.4493 dB] [ET    61 ] [L0] [L1]
POC   46 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      95936 bits [Y 33.9886 dB    U 43.2205 dB    V 44.3182 dB] [ET    60 ] [L0] [L1]
POC   47 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      95672 bits [Y 33.9655 dB    U 43.2321 dB    V 44.2546 dB] [ET    60 ] [L0] [L1]
POC   48 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      95464 bits [Y 33.9660 dB    U 43.2912 dB    V 44.2736 dB] [ET    60 ] [L0] [L1]
POC   49 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      95960 bits [Y 33.9668 dB    U 43.2350 dB    V 44.2798 dB] [ET    62 ] [L0] [L1]
POC   50 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      96480 bits [Y 34.0007 dB    U 43.4675 dB    V 44.2707 dB] [ET    60 ] [L0] [L1]
POC   51 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      97024 bits [Y 33.9814 dB    U 43.1853 dB    V 44.2086 dB] [ET    61 ] [L0] [L1]
POC   52 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      96216 bits [Y 33.9631 dB    U 43.0898 dB    V 44.2110 dB] [ET    60 ] [L0] [L1]
POC   53 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      97264 bits [Y 33.9815 dB    U 43.2992 dB    V 44.1255 dB] [ET    60 ] [L0] [L1]
POC   54 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      95136 bits [Y 33.9680 dB    U 43.3533 dB    V 44.0938 dB] [ET    61 ] [L0] [L1]
POC   55 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      96544 bits [Y 34.0048 dB    U 43.3492 dB    V 44.5507 dB] [ET    60 ] [L0] [L1]
POC   56 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      96432 bits [Y 33.9950 dB    U 43.3413 dB    V 44.2141 dB] [ET    63 ] [L0] [L1]
POC   57 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      95808 bits [Y 33.9818 dB    U 43.1134 dB    V 44.1628 dB] [ET    66 ] [L0] [L1]
POC   58 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      95656 bits [Y 33.9580 dB    U 43.3674 dB    V 44.2223 dB] [ET    64 ] [L0] [L1]
POC   59 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      95896 bits [Y 33.9557 dB    U 43.2024 dB    V 44.3453 dB] [ET    65 ] [L0] [L1]
POC   60 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      95592 bits [Y 33.9531 dB    U 43.1137 dB    V 44.0841 dB] [ET    63 ] [L0] [L1]
POC   61 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      95920 bits [Y 33.9491 dB    U 43.0025 dB    V 44.2316 dB] [ET    64 ] [L0] [L1]
POC   62 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      95880 bits [Y 33.9305 dB    U 43.2697 dB    V 44.3605 dB] [ET    63 ] [L0] [L1]
POC   63 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      95624 bits [Y 33.9809 dB    U 43.2799 dB    V 44.0957 dB] [ET    64 ] [L0] [L1]
POC   64 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      95720 bits [Y 33.9762 dB    U 43.3836 dB    V 44.0625 dB] [ET    63 ] [L0] [L1]
POC   65 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      95224 bits [Y 33.9638 dB    U 43.1667 dB    V 44.1567 dB] [ET    63 ] [L0] [L1]
POC   66 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      95408 bits [Y 33.9592 dB    U 43.3197 dB    V 44.1699 dB] [ET    62 ] [L0] [L1]
POC   67 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      95904 bits [Y 33.9855 dB    U 43.3611 dB    V 44.2963 dB] [ET    66 ] [L0] [L1]
POC   68 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      95456 bits [Y 33.9425 dB    U 43.3504 dB    V 44.3598 dB] [ET    62 ] [L0] [L1]
POC   69 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      97000 bits [Y 33.9828 dB    U 43.2696 dB    V 44.3061 dB] [ET    59 ] [L0] [L1]
POC   70 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      96656 bits [Y 33.9702 dB    U 43.2627 dB    V 44.1444 dB] [ET    60 ] [L0] [L1]
POC   71 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      95984 bits [Y 33.9614 dB    U 43.1918 dB    V 44.2283 dB] [ET    61 ] [L0] [L1]
POC   72 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      96224 bits [Y 34.0052 dB    U 43.3027 dB    V 44.2897 dB] [ET    59 ] [L0] [L1]
POC   73 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      95272 bits [Y 33.9453 dB    U 43.1202 dB    V 44.1000 dB] [ET    61 ] [L0] [L1]
POC   74 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      96224 bits [Y 33.9825 dB    U 43.3316 dB    V 44.3264 dB] [ET    61 ] [L0] [L1]
POC   75 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      95800 bits [Y 33.9684 dB    U 43.2647 dB    V 44.1578 dB] [ET    58 ] [L0] [L1]
POC   76 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      95328 bits [Y 33.9479 dB    U 43.1022 dB    V 44.1360 dB] [ET    57 ] [L0] [L1]
POC   77 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      95960 bits [Y 33.9455 dB    U 43.3895 dB    V 44.2196 dB] [ET    57 ] [L0] [L1]
POC   78 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      95912 bits [Y 33.9587 dB    U 43.1000 dB    V 44.2097 dB] [ET    57 ] [L0] [L1]
POC   79 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      97000 bits [Y 33.9757 dB    U 43.2992 dB    V 44.3498 dB] [ET    56 ] [L0] [L1]
POC   80 LId:  0 TId: 0 ( CRA, I-SLICE, QP 32 )      95896 bits [Y 33.9585 dB    U 43.1823 dB    V 44.3411 dB] [ET    55 ] [L0] [L1]

LayerId  0
	Total Frames |  Bitrate      Y-PSNR   U-PSNR   V-PSNR   YUV-PSNR 
	81           a  5722.5422    33.9693  43.2406  44.2439  35.5057  

 finished @ Fri Sep  8 15:46:37 2023
 Total Time:     4992.806 sec. [user]     4992.806 sec. [elapsed]
